Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
SMART,SMART (33kW),ES,3,33.0,M 6,6.1,4.3,4.9,118,,,,,
SMART,SMART (40kW),ES,4,40.0,M 6,6.1,4.3,4.9,118,,,,,
SMART,SMART (40kW) CABRIOLET,ES,4,40.0,M 6,6.1,4.3,4.9,118,,,,,
SMART,SMART (45kW),ES,4,45.0,M 6,6.1,4.3,4.9,118,,,,,
SMART,SMART (45kW) CABRIOLET,ES,4,45.0,M 6,6.1,4.3,4.9,118,,,,,
TOYOTA,PRIUS 1.5L,ES,4,53.0,V 0,5.9,4.6,5.1,120,,,,,
SMART,SMART (33kW) BVA,ES,3,33.0,M 6,6.3,4.4,5.1,122,,,,,
SMART,SMART (40kW) BVA,ES,4,40.0,M 6,6.3,4.4,5.1,122,,,,,
SMART,SMART (40kW) CABRIOLET BVA,ES,4,40.0,M 6,6.3,4.4,5.1,122,,,,,
SMART,SMART (45kW) BVA,ES,4,45.0,M 6,6.3,4.5,5.1,122,,,,,
SMART,SMART (45kW) CABRIOLET BVA,ES,4,45.0,M 6,6.3,4.5,5.1,122,,,,,
SUZUKI,SWIFT 1.0L 3P,ES,4,39.0,M 5,6.8,4.5,5.3,130,,,,,
DAIHATSU,SIRION 1.3L S ou X,ES,6,75.0,M 5,7.6,4.6,5.7,135,,,,,
OPEL,CORSA 3P 1.0L 12V,ES,4,43.0,M 5,7.2,4.7,5.6,135,,,,,
OPEL,CORSA 3P 1.0L 12V CLIM,ES,4,43.0,M 5,7.2,4.7,5.6,135,,,,,
OPEL,CORSA 5P 1.0L 12V,ES,4,43.0,M 5,7.2,4.7,5.6,135,,,,,
OPEL,CORSA 5P 1.0L 12V CLIM,ES,4,43.0,M 5,7.2,4.7,5.6,135,,,,,
DAIHATSU,MOVE S ou X,ES,4,40.5,M 5,6.8,5.1,5.7,136,,,,,
FIAT,PUNTO 3P 60,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
FIAT,PUNTO 3P 60,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
FIAT,PUNTO 5P 60,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
FIAT,PUNTO 5P 60,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
FIAT,PUNTO 5P 60,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
LANCIA,Y 1.2L,ES,4,44.0,M 5,7.3,4.8,5.7,136,,,,,
RENAULT,TWINGO 1.2L QUICKSHIFT 5,ES,4,43.0,A 5,7.4,4.8,5.7,136,,,,,
RENAULT,CLIO 3P 1.2L 16v  QUICKSHIFT 5,ES,5,55.0,M 5,7.6,4.8,5.8,137,,,,,
RENAULT,CLIO 5P 1.2L 16v QUICKSHIFT 5,ES,5,55.0,M 5,7.6,4.8,5.8,137,,,,,
RENAULT,TWINGO 1.2L 16v QUICKSHIFT 5,ES,5,55.0,A 5,7.6,4.8,5.8,137,,,,,
TOYOTA,YARIS 3P 1.0L,ES,4,50.0,M 5,6.9,5.1,5.7,137,,,,,
TOYOTA,YARIS 5P 1.0L,ES,4,50.0,M 5,6.9,5.1,5.7,137,,,,,
RENAULT,CLIO 3P 1.2L 16v,ES,5,55.0,M 5,7.8,4.9,5.9,139,,,,,
RENAULT,CLIO 5P 1.2L 16v,ES,5,55.0,M 5,7.8,4.9,5.9,139,,,,,
RENAULT,TWINGO 1.2L QUICKSHIFT 5,ES,4,43.0,A 5,7.5,5.0,5.9,139,,,,,
SEAT,AROSA 1000,ES,4,37.0,M 5,7.8,4.7,5.8,139,,,,,
SEAT,AROSA 1000,ES,4,37.0,M 5,7.8,4.7,5.8,139,,,,,
RENAULT,TWINGO 1.2L 16v,ES,5,55.0,M 5,7.6,4.9,5.9,140,,,,,
LANCIA,Y 1.2L 16V,ES,5,59.0,M 5,7.5,5.0,6.0,141,,,,,
FIAT,PUNTO 3P 80,ES,5,59.0,M 5,7.6,5.0,6.0,142,,,,,
FIAT,PUNTO 3P 80,ES,5,59.0,M 5,7.6,5.0,6.0,142,,,,,
FIAT,PUNTO 5P 80,ES,5,59.0,M 5,7.6,5.0,6.0,142,,,,,
FIAT,PUNTO 5P 80,ES,5,59.0,M 5,7.6,5.0,6.0,142,,,,,
NISSAN,MICRA 3P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
NISSAN,MICRA 3P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
NISSAN,MICRA 3P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
NISSAN,MICRA 5P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
NISSAN,MICRA 5P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
NISSAN,MICRA 5P 1.0L,ES,4,44.0,M 5,7.1,5.1,5.8,142,,,,,
FIAT,SEICENTO,ES,4,40.0,M 5,8.3,4.7,6.0,143,,,,,
RENAULT,CLIO 3P 1.2L,ES,4,43.0,M 5,7.9,4.9,6.0,143,,,,,
RENAULT,CLIO 5P 1.2L,ES,4,43.0,M 5,7.9,4.9,6.0,143,,,,,
RENAULT,TWINGO 1.2L,ES,4,43.0,M 5,7.5,5.1,6.0,143,,,,,
RENAULT,TWINGO 1.2L GPL,ES,/GP  4,43.0,M 5,7.5,5.1,6.0,143,,,,,
AUDI,A21.4L (75ch),ES,5,55.0,M 5,8.2,4.7,6.0,144,,,,,
AUDI,A21.4L (75ch),ES,5,55.0,M 5,8.2,4.7,6.0,144,,,,,
TOYOTA,YARIS 3P 1.3L,ES,5,63.0,M 5,7.7,5.0,6.0,144,,,,,
TOYOTA,YARIS 5P 1.3L,ES,5,63.0,M 5,7.7,5.0,6.0,144,,,,,
CITROEN,SAXO 3P 1.1i,ES,4,44.1,M 5,8.0,5.0,6.1,145,,,,,
CITROEN,SAXO 5P 1.1i,ES,4,44.1,M 5,8.0,5.0,6.1,145,,,,,
DAIHATSU,YRVS ou X,ES,5,64.0,M 5,7.6,5.1,6.0,145,,,,,
FORD,KA1.3L,ES,4,44.0,M 5,7.9,4.8,5.9,145,,,,,
NISSAN,MICRA 3P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
NISSAN,MICRA 3P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
NISSAN,MICRA 3P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
NISSAN,MICRA 5P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
NISSAN,MICRA 5P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
NISSAN,MICRA 5P 1.0L N-CVT,ES,4,44.0,V 0,7.5,5.0,5.9,145,,,,,
PEUGEOT,1063P 1.1i,ES,4,44.1,M 5,8.0,5.0,6.1,145,,,,,
PEUGEOT,1065P 1.1i,ES,4,44.1,M 5,8.0,5.0,6.1,145,,,,,
AUDI,A21.4L (75ch),ES,5,55.0,M 5,8.3,4.8,6.1,146,,,,,
