Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
ALFA-ROMEO,147 3P 1.6TS (105ch),ES,7,77.0,M 5,11.1,6.3,8.1,192.0,,,,,
ALFA-ROMEO,147 3P 1.6TS (105ch),ES,7,77.0,M 5,11.3,6.4,8.2,196.0,,,,,
ALFA-ROMEO,147 5P 1.6TS (105ch),ES,7,77.0,M 5,11.1,6.3,8.1,192.0,,,,,
ALFA-ROMEO,147 5P 1.6TS (105ch),ES,7,77.0,M 5,11.3,6.4,8.2,196.0,,,,,
ALFA-ROMEO,147 3P 1.6TS (120ch),ES,8,88.0,M 5,11.2,6.4,8.2,194.0,,,,,
ALFA-ROMEO,147 5P 1.6TS (120ch),ES,8,88.0,M 5,11.2,6.4,8.2,194.0,,,,,
ALFA-ROMEO,147 3P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 3P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 3P 2.0TS,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 3P 2.0TS,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 5P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 5P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 5P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 5P 2.0 SELESPEED,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,,,,,
ALFA-ROMEO,147 GTA,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,,,,,
ALFA-ROMEO,147 3P 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,147 5P 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,147 5P 1.9JTD (140ch) DISTINCTIVE,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,,,,,
ALFA-ROMEO,156 1.6L TS,ES,7,81.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 1.6L TS,ES,7,81.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,ES,7,81.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 SW 1.6L TS,ES,7,81.0,M 5,11.5,6.5,8.3,198.0,,,,,
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,ES,7,81.0,M 5,11.5,6.5,8.3,198.0,,,,,
ALFA-ROMEO,156 1.6L TS,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 1.6L TS,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,,,,,
ALFA-ROMEO,156 SW 1.6L TS,ES,8,88.0,M 5,11.5,6.5,8.3,198.0,,,,,
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,ES,8,88.0,M 5,11.5,6.5,8.3,198.0,,,,,
ALFA-ROMEO,156 1.8L TS,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,,,,,
ALFA-ROMEO,156 1.8L TS,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,,,,,
ALFA-ROMEO,156 1.8L TS PROGRESSIVE,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,,,,,
ALFA-ROMEO,156 1.8L TS PROGRESSIVE,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,,,,,
ALFA-ROMEO,156 SW 1.8L TS,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,,,,,
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,,,,,
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,,,,,
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,,,,,
ALFA-ROMEO,156 2.0JTS SELESPEED,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,,,,,
ALFA-ROMEO,156 2.0L SELESPEED,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 2.0L SELESPEED,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 2.0L SELESPEED,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 2.0L TS,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 2.0L TS,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 2.0L TS,ES,10,110.0,M 5,12.3,6.6,8.7,207.0,,,,,
ALFA-ROMEO,156 SW 2.0JTS DISTINCTIVE,ES,10,119.0,M 5,12.5,6.8,8.9,212.0,,,,,
ALFA-ROMEO,156 SW 2.0L SELESPEED,ES,10,110.0,M 5,12.6,6.9,8.7,214.0,,,,,
ALFA-ROMEO,156 SW 2.0L SELESPEED,ES,10,110.0,M 5,12.6,6.9,9.0,214.0,,,,,
ALFA-ROMEO,156 SW 2.0L TS,ES,10,110.0,M 5,12.6,6.9,9.0,214.0,,,,,
ALFA-ROMEO,156 SW 2.0L TS,ES,10,110.0,M 5,12.6,6.9,9.0,214.0,,,,,
ALFA-ROMEO,156 2.0JTS DISTINCTIVE,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,,,,,
ALFA-ROMEO,156 2.0JTS SELESPEED,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,,,,,
ALFA-ROMEO,156 SW 2.0JTS PROGRESSIVE,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,,,,,
ALFA-ROMEO,156 SW 2.0JTS SELESPEED,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,,,,,
ALFA-ROMEO,156 2.5L V6,ES,14,141.0,M 6,17.5,8.5,11.8,282.0,,,,,
ALFA-ROMEO,156 2.5L V6 DISTINCTIVE,ES,14,141.0,M 6,17.5,8.5,11.8,282.0,,,,,
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,ES,14,141.0,A 4,17.5,8.6,11.9,283.0,,,,,
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,ES,14,141.0,A 4,17.5,8.6,11.9,283.0,,,,,
ALFA-ROMEO,156 SW 2.5L V6,ES,14,141.0,M 6,17.8,8.6,12.0,286.0,,,,,
ALFA-ROMEO,156 SW 2.5L V6 DISTINCTIVE,ES,14,141.0,M 6,17.8,8.6,12.0,286.0,,,,,
ALFA-ROMEO,156 SW 2.5L V6 Q SYSTEM,ES,14,141.0,A 4,18.1,8.8,12.2,291.0,,,,,
ALFA-ROMEO,156 SW 2.5L V6 Q SYSTEM,ES,14,141.0,A 4,18.1,8.8,12.2,291.0,,,,,
ALFA-ROMEO,156 GTA,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,,,,,
ALFA-ROMEO,156 GTA,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,,,,,
ALFA-ROMEO,156 SW GTA,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,,,,,
ALFA-ROMEO,156 1.9JTD,GO,7,81.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD,GO,7,81.0,M 5,7.9,4.9,6.0,160.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,,,,,
