Marque,Modèle,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Type de Carburant,Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min
ALFA-ROMEO,147 3P 1.6L TS (105ch),7,77.0,M 5,11.3,6.4,8.2,196,ES,,,,
ALFA-ROMEO,147 3P 1.6L TS (120ch),8,88.0,M 5,11.2,6.4,8.2,194,ES,,,,
ALFA-ROMEO,147 3P 2.0L SELESPEED,10,110.0,M 5,12.1,7.0,8.9,211,ES,,,,
ALFA-ROMEO,147 3P 2.0L TS,10,110.0,M 5,12.1,7.0,8.9,211,ES,,,,
ALFA-ROMEO,147 3P JTD (120ch) M-JET,7,88.0,M 5,7.8,4.7,5.8,153,GO,,,,
ALFA-ROMEO,147 3P JTD (120ch) M-JET,7,88.0,M 5,7.8,4.7,5.8,153,GO,,,,
ALFA-ROMEO,147 3P JTD (150ch) M-JET,9,110.0,M 6,8.0,4.7,5.9,157,GO,,,,
ALFA-ROMEO,147 3P JTD (150ch) M-JET,9,110.0,M 6,8.0,4.7,5.9,157,GO,,,,
ALFA-ROMEO,147 5P 1.6TS (105ch),7,77.0,M 5,11.3,6.4,8.2,196,ES,,,,
ALFA-ROMEO,147 5P 1.6TS (120ch),8,88.0,M 5,11.2,6.4,8.2,194,ES,,,,
ALFA-ROMEO,147 5P 2.0L,10,110.0,M 5,12.1,7.0,8.9,211,ES,,,,
ALFA-ROMEO,147 5P 2.0L SELESPEED,10,110.0,M 5,12.1,7.0,8.9,211,ES,,,,
ALFA-ROMEO,147 5P JTD (120ch) M-JET,7,88.0,M 5,7.8,4.7,5.8,153,GO,,,,
ALFA-ROMEO,147 5P JTD (120ch) M-JET,7,88.0,M 5,7.8,4.7,5.8,153,GO,,,,
ALFA-ROMEO,147 5P JTD (150ch) M-JET,9,110.0,M 6,8.0,4.7,5.9,157,GO,,,,
ALFA-ROMEO,147 5P JTD (150ch) M-JET,9,110.0,M 6,8.0,4.7,5.9,157,GO,,,,
ALFA-ROMEO,159 1.9 JTD (120ch),7,88.0,M 6,7.8,4.9,5.9,157,GO,,,,
ALFA-ROMEO,159 1.9 JTD (150ch),9,110.0,M 6,8.1,4.8,6.0,159,GO,,,,
ALFA-ROMEO,159 1.9 JTD (150ch) Qtronic,9,110.0,A 6,9.9,5.5,7.1,187,GO,,,,
ALFA-ROMEO,159 1.9L JTS,10,118.0,M 6,12.2,6.6,8.7,205,ES,,,,
ALFA-ROMEO,159 2.2L JTS,12,136.0,M 6,13.0,7.3,9.4,221,ES,,,,
ALFA-ROMEO,159 2.2L JTS SELESPEED,12,136.0,M 6,12.8,7.1,9.2,217,ES,,,,
ALFA-ROMEO,159 2.4 JTD M-JET 210,13,154.0,M 6,10.0,6.0,7.5,197,GO,,,,
ALFA-ROMEO,159 2.4JTD,12,147.0,M 6,9.2,5.4,6.8,179,GO,,,,
ALFA-ROMEO,159 2.4JTD Qtronic,13,147.0,A 6,11.6,5.9,8.0,210,GO,,,,
ALFA-ROMEO,159 3.2L V6 JTS Q4,18,191.0,M 6,16.9,8.4,11.5,273,ES,,,,
ALFA-ROMEO,159 3.2L V6 JTS Q4 Qtronic,19,191.0,A 6,18.4,8.6,12.2,289,ES,,,,
ALFA-ROMEO,159 SW 1.8L MPI,9,103.0,M 5,10.7,6.3,7.9,187,ES,,,,
ALFA-ROMEO,159 SW 1.9 JTD (120ch) M-JET,7,88.0,M 6,7.9,4.9,6.0,159,GO,,,,
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET,9,110.0,M 6,8.3,4.8,6.1,162,GO,,,,
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET Qtronic,9,110.0,A 6,10.1,5.6,7.2,190,GO,,,,
ALFA-ROMEO,159 SW 1.9L JTS,10,118.0,M 6,12.4,6.7,8.8,209,ES,,,,
ALFA-ROMEO,159 SW 2.2L JTS,12,136.0,M 6,13.2,7.3,9.5,224,ES,,,,
ALFA-ROMEO,159 SW 2.2L JTS SELESPEED,12,136.0,M 6,13.0,7.1,9.3,219,ES,,,,
ALFA-ROMEO,159 SW 2.4 JTD M-JET,12,147.0,M 6,9.4,5.6,7.0,185,GO,,,,
ALFA-ROMEO,159 SW 2.4 JTD M-JET 210,13,154.0,M 6,10.2,6.0,7.6,199,GO,,,,
ALFA-ROMEO,159 SW 2.4 JTD M-JET Qtronic,13,147.0,A 6,11.8,6.0,8.1,215,GO,,,,
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4,18,191.0,M 6,17.1,8.5,11.6,275,ES,,,,
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4 Qtronic,19,191.0,A 6,18.6,8.6,12.3,291,ES,,,,
ALFA-ROMEO,166 2.4 JTD (185ch),11,136.0,M 6,9.9,6.1,7.5,198,GO,,,,
ALFA-ROMEO,166 3.2L V6,17,176.5,M 6,18.3,9.1,12.5,297,ES,,,,
ALFA-ROMEO,BRERA 2.2L JTS,12,136.0,M 6,13.0,7.3,9.4,221,ES,,,,
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,12,136.0,M 6,12.8,7.1,9.2,217,ES,,,,
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,12,136.0,M 6,12.8,7.1,9.2,217,ES,,,,
ALFA-ROMEO,BRERA 2.4 JTD,12,147.0,M 6,9.2,5.4,6.8,179,GO,,,,
ALFA-ROMEO,BRERA 3.2 V6 JTS,18,191.0,M 6,16.9,8.4,11.5,273,ES,,,,
ALFA-ROMEO,BRERA 3.2 V6 JTS Qtronic,19,191.0,A 6,18.4,8.6,12.2,289,ES,,,,
ALFA-ROMEO,GT 1.8L,9,103.0,M 5,12.1,6.4,8.5,202,ES,,,,
ALFA-ROMEO,GT COUPE 2.0L JTS,11,122.0,M 5,12.2,6.7,8.7,207,ES,,,,
ALFA-ROMEO,GT COUPE 2.0L JTS SELESPEED,11,122.0,M 5,12.2,6.7,8.7,207,ES,,,,
ALFA-ROMEO,GT COUPE 3.2L,17,176.5,M 6,18.6,8.7,12.4,295,ES,,,,
ALFA-ROMEO,GT COUPE JTD (150ch) M JET,9,110.0,M 6,8.5,4.9,6.2,165,GO,,,,
ALFA-ROMEO,GT COUPE JTD (150ch) M-JET,9,110.0,M 6,8.5,4.9,6.2,165,GO,,,,
ALFA-ROMEO,SPIDER 2.2 JTS  SELESPEED,12,136.0,M 6,12.8,7.1,9.2,217,ES,,,,
ALFA-ROMEO,SPIDER 2.2L JTS,12,136.0,M 6,13.0,7.3,9.4,221,ES,,,,
ALFA-ROMEO,SPIDER 2.4 JTD M-JET 200,12,147.0,M 6,9.2,5.4,6.8,179,GO,,,,
ALFA-ROMEO,SPIDER 3.2 V6 JTS,18,191.0,M 6,16.9,8.4,11.5,273,ES,,,,
ALFA-ROMEO,SPIDER 3.2 V6 JTS Qtronic,19,191.0,A 6,18.4,8.6,12.2,289,ES,,,,
AUDI,A3 1.6L (102ch),6,75.0,M 5,9.6,5.6,7.1,169,ES,,,,
AUDI,A3 1.6L (102ch),6,75.0,M 5,9.6,5.6,7.1,169,ES,,,,
AUDI,A3 1.6L (102ch) TIPTRONIC,7,75.0,A 6,10.9,5.9,7.7,183,ES,,,,
AUDI,A3 1.6L (102ch) TIPTRONIC,7,75.0,A 6,10.9,5.9,7.7,183,ES,,,,
AUDI,A3 1.6L FSI (115ch),7,85.0,M 6,8.8,5.3,6.6,158,ES,,,,
AUDI,A3 1.6L FSI (115ch),7,85.0,M 6,8.8,5.3,6.6,158,ES,,,,
AUDI,A3 1.8T FSI,10,118.0,M 6,10.0,5.7,7.3,174,ES,,,,
AUDI,A3 1.8T FSI S tronic,10,118.0,A 6,10.4,5.8,7.5,179,ES,,,,
AUDI,A3 1.9 TDI (105ch),6,77.0,M 5,6.6,4.2,5.1,135,GO,,,,
AUDI,A3 1.9 TDI (105ch),6,77.0,M 5,6.6,4.2,5.1,135,GO,,,,
AUDI,A3 1.9 TDI (105ch) FAP,6,77.0,M 5,6.1,4.2,4.9,129,GO,,,,
AUDI,A3 1.9 TDI (105ch) FAP,6,77.0,M 5,6.1,4.2,4.9,129,GO,,,,
AUDI,A3 1.9 TDI (105ch) S TRONIC FAP,6,77.0,A 6,7.5,4.8,5.8,156,GO,,,,
AUDI,A3 1.9 TDI (105ch) S TRONIC FAP,6,77.0,A 6,7.5,4.8,5.8,156,GO,,,,
AUDI,A3 2.0 TDI (136ch),7,100.0,M 6,6.8,4.4,5.3,140,GO,,,,
AUDI,A3 2.0 TDI (136ch),7,100.0,M 6,6.8,4.4,5.3,140,GO,,,,
AUDI,A3 2.0 TDI (140ch),8,103.0,M 6,7.2,4.6,5.5,146,GO,,,,
AUDI,A3 2.0 TDI (140ch),8,103.0,M 6,7.2,4.6,5.5,146,GO,,,,
AUDI,A3 2.0 TDI (140ch) FAP,8,103.0,M 6,7.0,4.6,5.5,148,GO,,,,
AUDI,A3 2.0 TDI (140ch) FAP,8,103.0,M 6,7.0,4.6,5.5,148,GO,,,,
AUDI,A3 2.0 TDI (140ch) QUATTRO,8,103.0,M 6,7.6,4.8,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) QUATTRO,8,103.0,M 6,7.6,4.8,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) QUATTRO FAP,8,103.0,M 6,7.5,5.0,5.9,156,GO,,,,
AUDI,A3 2.0 TDI (140ch) QUATTRO FAP,8,103.0,M 6,7.5,5.0,5.9,156,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC,8,103.0,A 6,7.6,4.9,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC,8,103.0,A 6,7.6,4.9,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC,8,103.0,A 6,7.6,4.9,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC,8,103.0,A 6,7.6,4.9,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,8,103.0,A 6,7.5,4.5,5.6,151,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,8,103.0,A 6,7.5,4.5,5.6,151,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,8,103.0,A 6,7.5,4.5,5.6,151,GO,,,,
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,8,103.0,A 6,7.5,4.5,5.6,151,GO,,,,
AUDI,A3 2.0 TDI (170ch) FAP,10,125.0,M 6,7.8,4.6,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (170ch) FAP,10,125.0,M 6,7.8,4.6,5.8,154,GO,,,,
AUDI,A3 2.0 TDI (170ch) QUATTRO FAP,10,125.0,M 6,8.5,5.1,6.4,173,GO,,,,
AUDI,A3 2.0 TDI (170ch) QUATTRO FAP,10,125.0,M 6,8.5,5.1,6.4,173,GO,,,,
AUDI,A3 2.0 TDI (170ch) S TRONIC FAP,10,125.0,A 6,7.6,4.9,5.9,156,GO,,,,
